60
78
80
84
94
100
110
170
175
1000
1000000
3-d
.22-caliber
.38 calibre
1 maccabees
1-hitter
15 minutes
150th
155th
16th
1850s
1890s
1930s
1st earl of balfour
2-hydroxybenzoic acid
24-hour interval
2nd lieutenant
32nd
6-membered
60th
6th
